incident_id,incident_embed_text,top_event,incident_type,operating_phase,materials,region,operator,summary,recommendations
02-may-2024_gc20478_murphy20ev2010r,"Top Event: Loss of Primary Containment
Incident Type: Equipment Failure / Crane Lifting Incident
Operating Phase: production
Materials: hydraulic fluid
Summary: On May 2, 2024, during 5-year recertification load testing of the Forward Starboard knuckle boom crane (KBC #1) on the drillship Noble Stanley Lafosse, a winch brake assembly failure occurred at approximately 70 metric tons while attempting to reach the full load test of 93.5 MT. The failure resulted in uncontrolled descent of a water bag test load, causing a Loss of Primary Containment (LOPC) due to hydraulic test port failure. The water bag contacted the take-on station corner, ripped open, and descended into the Gulf of Mexico. Property damage totaled $168,150. Root cause was determined to be crane overload due to improper sea lift area designation combined with lack of personnel training on Automatic Overload Protection System (AOPS) functionality and inadequate procedures.",Loss of Primary Containment,Equipment Failure / Crane Lifting Incident,production,"[""hydraulic fluid""]",Gulf of Mexico,Murphy Exploration & Production Company – USA,"On May 2, 2024, during 5-year recertification load testing of the Forward Starboard knuckle boom crane (KBC #1) on the drillship Noble Stanley Lafosse, a winch brake assembly failure occurred at approximately 70 metric tons while attempting to reach the full load test of 93.5 MT. The failure resulted in uncontrolled descent of a water bag test load, causing a Loss of Primary Containment (LOPC) due to hydraulic test port failure. The water bag contacted the take-on station corner, ripped open, and descended into the Gulf of Mexico. Property damage totaled $168,150. Root cause was determined to be crane overload due to improper sea lift area designation combined with lack of personnel training on Automatic Overload Protection System (AOPS) functionality and inadequate procedures.","[""Reset sea lift area when performing 5-year load test over the side of the vessel"", ""Provide proper training on AOPS functionality to personnel performing load tests"", ""Revise job instructions to include safety system checks before load test, not after"", ""Improve maintenance procedures for brake overhaul and installation to ensure Quality Control checks"", ""Update work task references and load test procedures to specify sea lift area reset requirements""]"
07-mar-2024_kc20785_llog_ev2010r2028129,"Top Event: Dropped load striking personnel
Incident Type: Slip/Trip/Fall with struck-by injury
Operating Phase: completion
Materials: drill line (2-inch diameter steel), nylon web sling
Summary: On 7 March 2024 at 1500 hours, during slip and cut drill line operations on the Seadrill West Neptune drillship, a 2-inch diameter drill line (approximately 19 feet long, 148 pounds) slipped from a nylon web sling being used with an air tugger and fell freely to the rig floor. A Seadrill employee attempting to exit the area tripped over coiled drill line and fell, and was subsequently struck by the falling drill line on his hardhat, middle back, and left shoulder. The employee sustained a torn labrum and shoulder strain requiring 10-12 weeks of physical therapy.",Dropped load striking personnel,Slip/Trip/Fall with struck-by injury,completion,"[""drill line (2-inch diameter steel)"", ""nylon web sling""]","Gulf of Mexico, Keathley Canyon Block 785","LLOG Exploration Offshore, L.L.C.","On 7 March 2024 at 1500 hours, during slip and cut drill line operations on the Seadrill West Neptune drillship, a 2-inch diameter drill line (approximately 19 feet long, 148 pounds) slipped from a nylon web sling being used with an air tugger and fell freely to the rig floor. A Seadrill employee attempting to exit the area tripped over coiled drill line and fell, and was subsequently struck by the falling drill line on his hardhat, middle back, and left shoulder. The employee sustained a torn labrum and shoulder strain requiring 10-12 weeks of physical therapy.",[]
08-july-2024_st2023cc_cantium20ev2010r,"Top Event: Traveling block struck crown saver assembly
Incident Type: Structural Damage - Material Handling
Operating Phase: drilling
Materials: drill pipe, drilling fluid
Summary: On July 8, 2024, at 1908 hours, while pulling out of the hole with drill pipe on the jack-up Enterprise 205 at South Timbalier Block 23, the traveling block struck the crown saver assembly with approximately 117,000 lbs overpull, resulting in $11,210 in damages to the crown saver and crown-o-matic. The driller lost situational awareness by focusing on pipe tally while pulling, and the crown-o-matic failed to trip when contacted by the drill line because the barrel was not set properly. The incident was not immediately reported to BSEE.",Traveling block struck crown saver assembly,Structural Damage - Material Handling,drilling,"[""drill pipe"", ""drilling fluid""]",Gulf of Mexico,"Cantium, LLC","On July 8, 2024, at 1908 hours, while pulling out of the hole with drill pipe on the jack-up Enterprise 205 at South Timbalier Block 23, the traveling block struck the crown saver assembly with approximately 117,000 lbs overpull, resulting in $11,210 in damages to the crown saver and crown-o-matic. The driller lost situational awareness by focusing on pipe tally while pulling, and the crown-o-matic failed to trip when contacted by the drill line because the barrel was not set properly. The incident was not immediately reported to BSEE.","[""Develop rig-specific procedure for checking the crown-o-matic with step-by-step instructions"", ""Ensure Job Safety Analysis identifies the hazard of traveling block striking crown block assembly"", ""Implement requirement for crew member to monitor wire rope and count wraps during crown-o-matic check"", ""Ensure proper setup and maintenance of crown-o-matic barrel"", ""Improve communication of job instructions for pulling out of hole operations"", ""Establish fleetwide procedure for checking crown-o-matic""]"
10-nov-2024_gc432_murphy20ev2010r,"Top Event: Slip/Trip/Fall with Wave Strike
Incident Type: Slip/Trip/Fall
Operating Phase: workover
Materials: N/A
Summary: On 10-NOV-2024 at 0145 hours, an injured person (IP) on the Transocean Deepwater Invictus drillship was struck by a 15-foot wave while standing at the aft handrail despite being informed the stern was secured due to deteriorating weather and building seas. The IP was knocked approximately 20 feet across the rig, possibly striking a bollard, and sustained a fractured right femur. The IP had less than one year offshore experience and was not assigned duties in the secured area but chose to enter it to observe the water.",Slip/Trip/Fall with Wave Strike,Slip/Trip/Fall,workover,[],"Gulf of America, Green Canyon Block 432",Murphy Exploration & Production Company - USA,"On 10-NOV-2024 at 0145 hours, an injured person (IP) on the Transocean Deepwater Invictus drillship was struck by a 15-foot wave while standing at the aft handrail despite being informed the stern was secured due to deteriorating weather and building seas. The IP was knocked approximately 20 feet across the rig, possibly striking a bollard, and sustained a fractured right femur. The IP had less than one year offshore experience and was not assigned duties in the secured area but chose to enter it to observe the water.","[""BSEE Houma District recommends the Office of Incident Investigations issue a safety alert/bulletin regarding this incident""]"
11-jul-2024_hia5_mantaray_ev2010r2028129_0,"Top Event: Head injury from winch assist handle strike
Incident Type: Other Injury
Operating Phase: production
Materials: lifeboat capsule
Summary: On July 11, 2024, at 0730 hours, a contract pipeline operator from Quality Process Services suffered a serious head injury when struck by a winch assist handle during a routine lifeboat capsule inspection at the High Island A-5 Manta Ray Gathering Facility. The handle remained in the socket when the powered winch was engaged, causing it to rotate and strike the operator in the head. The operator sustained a fractured skull requiring surgery and was transported via USCG to UTMB in Galveston. The incident was caused by failure to remove the winch assist handle before engaging the powered winch, compounded by a bypassed safety device and lack of a Job Safety Analysis.",Head injury from winch assist handle strike,Other Injury,production,"[""lifeboat capsule""]",Gulf of Mexico - High Island Block A-5,"Manta Ray Gathering Company, L.L.C / Genesis Energy LP","On July 11, 2024, at 0730 hours, a contract pipeline operator from Quality Process Services suffered a serious head injury when struck by a winch assist handle during a routine lifeboat capsule inspection at the High Island A-5 Manta Ray Gathering Facility. The handle remained in the socket when the powered winch was engaged, causing it to rotate and strike the operator in the head. The operator sustained a fractured skull requiring surgery and was transported via USCG to UTMB in Galveston. The incident was caused by failure to remove the winch assist handle before engaging the powered winch, compounded by a bypassed safety device and lack of a Job Safety Analysis.","[""Conduct onsite training for all operators on proper winch operation and safety protocols"", ""Develop and implement a Job Safety and Health Analysis (JSHA) for routine tasks including winch operations"", ""Review and update operational procedures and checklists to ensure all necessary safety measures are included"", ""Ensure winch assist handle removal is a mandatory step before powered winch engagement""]"
13-mar-2024_ss189_wog_ev2010,"Top Event: Dropped load from crane
Incident Type: structural damage
Operating Phase: plug and abandon
Materials: tools, lifting equipment
Summary: On March 13, 2024, at approximately 20:10 hours, a 4x40' basket of plug and abandon tools weighing 13,000 pounds was being offloaded from the M/V GOL Cowboy to the upper cantilever of the jack-up Enterprise 264 using the port side crane. The stinger, rated for 9.80 tons in vertical pull, failed due to internal corrosion buildup from moisture in the socket. The basket fell and landed on the control room, P-tanks, and platform on top of the living quarters, causing structural damage estimated at $7,500. No injuries occurred. The failure to inspect the stinger prior to use was identified as a significant contributing factor.",Dropped load from crane,structural damage,plug and abandon,"[""tools"", ""lifting equipment""]","Gulf of Mexico, Ship Shoal Block 189",Walter Oil & Gas Corporation,"On March 13, 2024, at approximately 20:10 hours, a 4x40' basket of plug and abandon tools weighing 13,000 pounds was being offloaded from the M/V GOL Cowboy to the upper cantilever of the jack-up Enterprise 264 using the port side crane. The stinger, rated for 9.80 tons in vertical pull, failed due to internal corrosion buildup from moisture in the socket. The basket fell and landed on the control room, P-tanks, and platform on top of the living quarters, causing structural damage estimated at $7,500. No injuries occurred. The failure to inspect the stinger prior to use was identified as a significant contributing factor.","[""Preventive Maintenance Daily checklist should clearly identify inspecting the stinger as a required step"", ""Cold work permits and Job Safety Analysis documents should specify inspecting the stinger"", ""Revision of sling and lifting gear replacement frequency""]"
1620feb202024_wr202920_chevron_ev2010r,"Top Event: Caught Between Incident
Incident Type: Structural Damage - Crane Other Lifting
Operating Phase: drilling
Materials: 16 inch casing
Summary: On February 16, 2024, at 13:29 hours, a deck foreman (IP) was struck by a suspended bundle of 16-inch casing weighing approximately 11,500 lbs during offloading operations on the Nabors MODS 400 rig. The IP was supervising the operation and verifying casing tally with his back turned to the load. The casing bundle swung in his direction and struck him on the right hip, forcing his left hip into a sub-rack basket, resulting in three pelvic fractures. The IP was medivaced to a hospital and discharged on February 20, 2024.",Caught Between Incident,Structural Damage - Crane Other Lifting,drilling,"[""16 inch casing""]","Gulf of Mexico, Walker Ridge Block 29",Chevron U.S.A. Inc.,"On February 16, 2024, at 13:29 hours, a deck foreman (IP) was struck by a suspended bundle of 16-inch casing weighing approximately 11,500 lbs during offloading operations on the Nabors MODS 400 rig. The IP was supervising the operation and verifying casing tally with his back turned to the load. The casing bundle swung in his direction and struck him on the right hip, forcing his left hip into a sub-rack basket, resulting in three pelvic fractures. The IP was medivaced to a hospital and discharged on February 20, 2024.",[]
18-feb-202320bp20mc2077820pdq,"Top Event: Dropped Drill Pipe
Incident Type: Structural Damage / Dropped Load
Operating Phase: abandonment
Materials: drill pipe, drilling fluid
Summary: On February 18, 2023, at 21:27 hours, while performing pulling out of hole (POOH) operations on the TA004 well at MC 778, the Driller inadvertently opened the pipe elevators before the Pipe Racking System (PRS) could secure the 13th stand of 4-1/2 inch drill pipe. The stand fell across the rig floor, striking the auxiliary PRS hoist and falling within close proximity of three Floor Hands. One Floor Hand slipped on the deck while evacuating and sustained injuries to his knee and hip, requiring medical evacuation.",Dropped Drill Pipe,Structural Damage / Dropped Load,abandonment,"[""drill pipe"", ""drilling fluid""]",Gulf of Mexico,BP Exploration & Production Inc.,"On February 18, 2023, at 21:27 hours, while performing pulling out of hole (POOH) operations on the TA004 well at MC 778, the Driller inadvertently opened the pipe elevators before the Pipe Racking System (PRS) could secure the 13th stand of 4-1/2 inch drill pipe. The stand fell across the rig floor, striking the auxiliary PRS hoist and falling within close proximity of three Floor Hands. One Floor Hand slipped on the deck while evacuating and sustained injuries to his knee and hip, requiring medical evacuation.",[]
18-jun-2023_chevron_platform20gail_ev2010r,"Top Event: Amputation injury during conductor removal operations
Incident Type: Amputation - Lost Time Accident (>3 days)
Operating Phase: decommissioning
Materials: marine growth, steel conductors
Summary: On June 18, 2023 at 18:35 hours, an injured person (IP) suffered amputation of the middle and ring finger of his left hand while adjusting chains on a marine growth removal system (MGRS) during conductor removal operations at Platform Gail. The IP placed his left hand fingers under the chain during an assumed pause in conductor lifting. The conductor resumed rising, tightening the chain and trapping the IP's hand, resulting in amputation of finger tips between the fingernail and first knuckle. The incident occurred due to inadequate verbal communication regarding the 'all stop' command, lack of risk assessment for the MGRS methods employed, and deviation from the approved Application for Permit to Modify (APM) which specified use of diver methods with water jets.",Amputation injury during conductor removal operations,Amputation - Lost Time Accident (>3 days),decommissioning,"[""marine growth"", ""steel conductors""]","Pacific OCS Region, Gulf of Mexico",Chevron U.S.A. Inc.,"On June 18, 2023 at 18:35 hours, an injured person (IP) suffered amputation of the middle and ring finger of his left hand while adjusting chains on a marine growth removal system (MGRS) during conductor removal operations at Platform Gail. The IP placed his left hand fingers under the chain during an assumed pause in conductor lifting. The conductor resumed rising, tightening the chain and trapping the IP's hand, resulting in amputation of finger tips between the fingernail and first knuckle. The incident occurred due to inadequate verbal communication regarding the 'all stop' command, lack of risk assessment for the MGRS methods employed, and deviation from the approved Application for Permit to Modify (APM) which specified use of diver methods with water jets.","[""Develop and implement comprehensive written management of change (MOC) procedures for switching between MGRS methods"", ""Conduct formal risk and hazards analysis on all MGRS methods prior to use, in accordance with API RP 75"", ""Improve radio communication protocols with explicit confirmation of 'all stop' commands by the Weatherford Lead"", ""Implement enhanced guarding or engineering controls to prevent worker proximity to moving machinery and tensioned chains"", ""Ensure compliance with approved APM and notify BSEE of any deviations or alternative methods"", ""Provide additional training on communication procedures and hazard recognition for all personnel involved in conductor removal""]"
1820jan202024_gc20478_murphy_20ev2010r,"Top Event: Loss of Casing String
Incident Type: Equipment Failure / Human Error
Operating Phase: drilling
Materials: 22"" casing, drilling fluid
Summary: On January 18, 2024, during drilling operations at GC 478, OCS-G35662, Well 004 on the drillship Noble Stanley Lafosse, a 22"" casing connection failed at the rig floor. The S-90/MT pin connection of joint 16 was cross-threaded and made up only ¼ - 3/8 turn instead of the required ½ - ¾ turn. When the flush-mounted slips holding joint 17 were opened to install anti-rotation keys, the axial load transferred to the improperly made-up connection, causing the pin to separate from the box. Seventy-two joints of casing fell partially into the hole and onto the seafloor, breaking apart and impacting critical subsea infrastructure. No injuries or environmental impacts occurred, but damages exceeded $15 million.",Loss of Casing String,Equipment Failure / Human Error,drilling,"[""22\"" casing"", ""drilling fluid""]",Gulf of Mexico,Murphy Exploration & Production Company – USA,"On January 18, 2024, during drilling operations at GC 478, OCS-G35662, Well 004 on the drillship Noble Stanley Lafosse, a 22"" casing connection failed at the rig floor. The S-90/MT pin connection of joint 16 was cross-threaded and made up only ¼ - 3/8 turn instead of the required ½ - ¾ turn. When the flush-mounted slips holding joint 17 were opened to install anti-rotation keys, the axial load transferred to the improperly made-up connection, causing the pin to separate from the box. Seventy-two joints of casing fell partially into the hole and onto the seafloor, breaking apart and impacting critical subsea infrastructure. No injuries or environmental impacts occurred, but damages exceeded $15 million.","[""Ensure visual inspection of casing connections is completed as per approved running procedures to detect cross-threading and makeup discrepancies"", ""Clarify in JSA and running procedures when anti-rotation keys should be installed relative to slip release"", ""Implement supervisor verification of connection makeup before slips are released"", ""Establish clear communication protocols between crew members regarding casing positioning and connection verification""]"
