incident_id,incident_embed_text,top_event,incident_type,operating_phase,materials,region,operator,summary,recommendations,pif_tags_json
ab-specialty-silicones-llc,"Top Event: Hydrogen gas release and explosion
Incident Type: Chemical reaction, hydrogen release, explosion, and fire
Operating Phase: production
Materials: XL 10 (methylhydrogensiloxane dimethylsiloxane copolymer), TD 6/12 Blend (ethoxylated tridecyl alcohol surfactant), 10% KOH (potassium hydroxide solution), EM 652 (emulsion product)
Summary: On May 3, 2019, at AB Specialty Silicones in Waukegan, Illinois, an operator pumped an incorrect chemical (10% KOH) into a batch tank containing XL 10 and TD 6/12 Blend. The incompatible chemicals were stored in nearly identical 55-gallon blue drums, differing only in small labels. The reaction between XL 10 (containing silicon hydride bonds) and aqueous KOH produced hydrogen gas, which released into the production building. The hydrogen gas ignited, causing a massive explosion and fire that fatally injured four employees (Byron Biehn, Jeffrey Cummings, Daniel Nicklas, Allen Stevens), destroyed the production building, and forced operational disruptions.
Recommendations:
Amend OSHA PSM Standard to achieve more comprehensive control of reactive hazards, including broadening application to cover reactive hazards from process-specific conditions and combinations of chemicals
Revise EPA Accidental Release Prevention Requirements to explicitly cover catastrophic reactive hazards from self-reactive chemicals and combinations of chemicals
Ensure hydrogen gas detection and alarm systems are properly installed, maintained, and configured based on facility application, manufacturer specifications, codes, standards, and industry guidance
Establish a safety management system addressing process safety at AB Specialty Waukegan facility, including elements from CCPS publications
Incorporate CCPS Essential Practices for Managing Chemical Reactivity Hazards into operations
Performance-Influencing Factor Notes:
medium
medium
low
low
low
low
low
medium
medium",Hydrogen gas release and explosion,"Chemical reaction, hydrogen release, explosion, and fire",production,"[""XL 10 (methylhydrogensiloxane dimethylsiloxane copolymer)"", ""TD 6/12 Blend (ethoxylated tridecyl alcohol surfactant)"", ""10% KOH (potassium hydroxide solution)"", ""EM 652 (emulsion product)""]","Waukegan, Illinois, USA","AB Specialty Silicones, LLC","On May 3, 2019, at AB Specialty Silicones in Waukegan, Illinois, an operator pumped an incorrect chemical (10% KOH) into a batch tank containing XL 10 and TD 6/12 Blend. The incompatible chemicals were stored in nearly identical 55-gallon blue drums, differing only in small labels. The reaction between XL 10 (containing silicon hydride bonds) and aqueous KOH produced hydrogen gas, which released into the production building. The hydrogen gas ignited, causing a massive explosion and fire that fatally injured four employees (Byron Biehn, Jeffrey Cummings, Daniel Nicklas, Allen Stevens), destroyed the production building, and forced operational disruptions.","[""Amend OSHA PSM Standard to achieve more comprehensive control of reactive hazards, including broadening application to cover reactive hazards from process-specific conditions and combinations of chemicals"", ""Revise EPA Accidental Release Prevention Requirements to explicitly cover catastrophic reactive hazards from self-reactive chemicals and combinations of chemicals"", ""Ensure hydrogen gas detection and alarm systems are properly installed, maintained, and configured based on facility application, manufacturer specifications, codes, standards, and industry guidance"", ""Establish a safety management system addressing process safety at AB Specialty Waukegan facility, including elements from CCPS publications"", ""Incorporate CCPS Essential Practices for Managing Chemical Reactivity Hazards into operations""]",null
ac-857a-shell-offshore-11-feb-2014,"Top Event: Loss of Containment - Mud Pit Discharge
Incident Type: Pollution
Operating Phase: production
Materials: Synthetic Base Mud
Summary: On 11 February 2014, an estimated 144 barrels of Synthetic Base Mud was discharged into the Gulf of Mexico from the #3 Active Pit dump valve during a mud pit cleaning and transfer operation. The incident resulted from failure to follow the Job Safety Analysis (JSA), improper Lock Out/Tag Out procedures, and inadequate sampling prior to discharge. The #3 Dump Valve was left in the open position and not properly identified during the operation.
Recommendations:
Installation of additional isolation valve in piping layout to provide barrier against accidental discharge
Enhanced procedures for opening and closing overboard discharge valves
Improved Lock Out/Tag Out execution and verification
Proper sampling from correct pit location before discharge authorization
Performance-Influencing Factor Notes:
low
low
low
low
low
low
low
low",Loss of Containment - Mud Pit Discharge,Pollution,production,"[""Synthetic Base Mud""]",Gulf of Mexico,Shell Offshore Inc.,"On 11 February 2014, an estimated 144 barrels of Synthetic Base Mud was discharged into the Gulf of Mexico from the #3 Active Pit dump valve during a mud pit cleaning and transfer operation. The incident resulted from failure to follow the Job Safety Analysis (JSA), improper Lock Out/Tag Out procedures, and inadequate sampling prior to discharge. The #3 Dump Valve was left in the open position and not properly identified during the operation.","[""Installation of additional isolation valve in piping layout to provide barrier against accidental discharge"", ""Enhanced procedures for opening and closing overboard discharge valves"", ""Improved Lock Out/Tag Out execution and verification"", ""Proper sampling from correct pit location before discharge authorization""]",null
ac2085720shell2004-sep-202320,"Top Event: Unauthorized release of Synthetic Based Mud
Incident Type: pollution
Operating Phase: production
Materials: Synthetic Based Mud (SBM), drilling fluid
Summary: On 4 September 2023 at approximately 13:20, approximately 24 barrels of Synthetic Based Mud (SBM) was discharged into the Gulf of Mexico from Alaminos Canyon (AC) 857, H&P 205 Drilling Rig located on the Shell Perdido Spar. The discharge resulted from obstructions in two valves (knife valve and butterfly valve) on the degasser tank discharge line that prevented proper sealing. The knife valve was obstructed by cuttings and the butterfly valve was blocked by a piece of rubber, both preventing full closure despite visual verification by crew members.
Recommendations:
Crews will fill processing pits with sea water to check for any leaks through containment valves prior to future operations
Install skillet on processing pit master dump valve to prevent unintentional discharge, consistent with active pit master dump valve design
Performance-Influencing Factor Notes:
medium
low
medium
low
low
low
medium",Unauthorized release of Synthetic Based Mud,pollution,production,"[""Synthetic Based Mud (SBM)"", ""drilling fluid""]",Gulf of Mexico,Shell Offshore Inc.,"On 4 September 2023 at approximately 13:20, approximately 24 barrels of Synthetic Based Mud (SBM) was discharged into the Gulf of Mexico from Alaminos Canyon (AC) 857, H&P 205 Drilling Rig located on the Shell Perdido Spar. The discharge resulted from obstructions in two valves (knife valve and butterfly valve) on the degasser tank discharge line that prevented proper sealing. The knife valve was obstructed by cuttings and the butterfly valve was blocked by a piece of rubber, both preventing full closure despite visual verification by crew members.","[""Crews will fill processing pits with sea water to check for any leaks through containment valves prior to future operations"", ""Install skillet on processing pit master dump valve to prevent unintentional discharge, consistent with active pit master dump valve design""]",null
ac_815_shell_18-mar-2022,"Top Event: Loss of Containment - Subsea Tree Valve Leak
Incident Type: pollution
Operating Phase: abandonment
Materials: Mono Ethylene Glycol, seawater
Summary: On 18 March 2022 at 1800 hours, during abandonment operations on Shell's Alaminos Canyon 815 well SA001 from the Helix Q-4000, a pressure test of a five-barrel cement squeeze failed to hold 1000 psi. Investigation revealed the chemical injection tree valve 1 (CIT1) on the subsea tree was leaking approximately 188 barrels of a 50/50 mixture of Mono Ethylene Glycol and seawater into the Gulf of Mexico. The CIT1 valve had not been functioned to verify closure prior to the pressure test; operators relied on documented position from well handover procedures. Manual ROV intervention and hydraulic functioning of the valve eventually stopped the leak.
Recommendations:
Shell to modify Shell Perdido SA001 Well Handover Procedure to include procedures for verifying status of all valves on the subsea tree
Performance-Influencing Factor Notes:
medium
low
medium
low",Loss of Containment - Subsea Tree Valve Leak,pollution,abandonment,"[""Mono Ethylene Glycol"", ""seawater""]",Gulf of Mexico,Shell Offshore Inc.,"On 18 March 2022 at 1800 hours, during abandonment operations on Shell's Alaminos Canyon 815 well SA001 from the Helix Q-4000, a pressure test of a five-barrel cement squeeze failed to hold 1000 psi. Investigation revealed the chemical injection tree valve 1 (CIT1) on the subsea tree was leaking approximately 188 barrels of a 50/50 mixture of Mono Ethylene Glycol and seawater into the Gulf of Mexico. The CIT1 valve had not been functioned to verify closure prior to the pressure test; operators relied on documented position from well handover procedures. Manual ROV intervention and hydraulic functioning of the valve eventually stopped the leak.","[""Shell to modify Shell Perdido SA001 Well Handover Procedure to include procedures for verifying status of all valves on the subsea tree""]",null
aghorn-operating-inc-waterflood-station-hydrogen-sulfide-release-,"Top Event: Hydrogen Sulfide Release
Incident Type: Loss of Containment
Operating Phase: production
Materials: hydrogen sulfide, produced water
Summary: On October 26, 2019, Pumper A responded to a pump oil level alarm at Aghorn's Foster D waterflood station. While attempting to isolate Pump #1 without performing Lockout/Tagout, the pump automatically energized, causing a broken plunger to release water containing hydrogen sulfide gas. Pumper A was fatally injured from H2S exposure. Subsequently, Pumper A's spouse gained access to the unlocked facility, was also exposed to H2S, and was fatally injured. The incident was attributed to multiple safety failures including nonuse of personal H2S detectors, lack of Lockout/Tagout procedures, inadequate ventilation, nonfunctioning H2S detection and alarm systems, and deficient site security.
Recommendations:
Mandate use of personal H2S detection devices as integral part of PPE kit for all employees and visitors prior to entering facilities with H2S potential
Develop site-specific, formalized, comprehensive Lockout/Tagout program meeting 29 CFR 1910.147 requirements
Commission independent analysis of facility design regarding ventilation and mitigation systems for H2S release scenarios
Develop and demonstrate comprehensive safety management program addressing H2S hazards including risk identification, assessment, mitigation, and monitoring
Ensure H2S detection and alarm systems are properly maintained, configured, and include site-specific programs based on manufacturer specifications
Employ multiple layers of alerts (audible and visual) in H2S detection and alarm system design
Develop and implement formal, written, site-specific security program requiring employees to lock access gates upon entering and departing facility
Performance-Influencing Factor Notes:
deficient
absent
deficient
deficient
deficient
deficient",Hydrogen Sulfide Release,Loss of Containment,production,"[""hydrogen sulfide"", ""produced water""]","Odessa, Texas, USA",Aghorn Operating Inc.,"On October 26, 2019, Pumper A responded to a pump oil level alarm at Aghorn's Foster D waterflood station. While attempting to isolate Pump #1 without performing Lockout/Tagout, the pump automatically energized, causing a broken plunger to release water containing hydrogen sulfide gas. Pumper A was fatally injured from H2S exposure. Subsequently, Pumper A's spouse gained access to the unlocked facility, was also exposed to H2S, and was fatally injured. The incident was attributed to multiple safety failures including nonuse of personal H2S detectors, lack of Lockout/Tagout procedures, inadequate ventilation, nonfunctioning H2S detection and alarm systems, and deficient site security.","[""Mandate use of personal H2S detection devices as integral part of PPE kit for all employees and visitors prior to entering facilities with H2S potential"", ""Develop site-specific, formalized, comprehensive Lockout/Tagout program meeting 29 CFR 1910.147 requirements"", ""Commission independent analysis of facility design regarding ventilation and mitigation systems for H2S release scenarios"", ""Develop and demonstrate comprehensive safety management program addressing H2S hazards including risk identification, assessment, mitigation, and monitoring"", ""Ensure H2S detection and alarm systems are properly maintained, configured, and include site-specific programs based on manufacturer specifications"", ""Employ multiple layers of alerts (audible and visual) in H2S detection and alarm system design"", ""Develop and implement formal, written, site-specific security program requiring employees to lock access gates upon entering and departing facility""]",null
airgas-facility-fatal-explosion-,"Top Event: Nitrous oxide trailer truck explosion
Incident Type: Explosion
Operating Phase: production
Materials: nitrous oxide
Summary: On August 28, 2016, a nitrous oxide trailer truck exploded at the Airgas manufacturing facility in Cantonment, Florida, fatally injuring one Airgas employee and heavily damaging the facility. The most probable cause was that during initial loading of a trailer truck, a pump heated nitrous oxide above safe operating limits, likely starting a nitrous oxide decomposition reaction that propagated from the pump into the trailer truck, causing the explosion. The CSB determined that Airgas lacked an effective safety management system to identify, evaluate, and control process safety-related hazards. Following the incident, Airgas rapidly implemented comprehensive process safety management components for its nitrous oxide operations.
Recommendations:
Complete in-progress post-incident actions
Continue safety initiatives for nitrous oxide operations
Performance-Influencing Factor Notes:
deficient
deficient
deficient
deficient
deficient
deficient",Nitrous oxide trailer truck explosion,Explosion,production,"[""nitrous oxide""]","Cantonment, Florida, USA","Airgas, Inc. (Air Liquide Company)","On August 28, 2016, a nitrous oxide trailer truck exploded at the Airgas manufacturing facility in Cantonment, Florida, fatally injuring one Airgas employee and heavily damaging the facility. The most probable cause was that during initial loading of a trailer truck, a pump heated nitrous oxide above safe operating limits, likely starting a nitrous oxide decomposition reaction that propagated from the pump into the trailer truck, causing the explosion. The CSB determined that Airgas lacked an effective safety management system to identify, evaluate, and control process safety-related hazards. Following the incident, Airgas rapidly implemented comprehensive process safety management components for its nitrous oxide operations.","[""Complete in-progress post-incident actions"", ""Continue safety initiatives for nitrous oxide operations""]",null
al-solutions-fatal-dust-explosion,"Top Event: Metal Dust Explosion and Fire
Incident Type: explosion
Operating Phase: production
Materials: titanium, zirconium
Summary: A metal dust explosion and fire occurred at AL Solutions facility while processing zirconium in a blender. The explosion initiated when zirconium particulates ignited due to metal-to-metal contact between blender blades and sidewall. Three employees died and one contractor was injured. The explosion and fire damaged the production building and caused plant shutdown.
Recommendations:
N/A
Performance-Influencing Factor Notes:
N/A",Metal Dust Explosion and Fire,explosion,production,"[""titanium"", ""zirconium""]","New Cumberland, West Virginia","AL Solutions, Inc.",A metal dust explosion and fire occurred at AL Solutions facility while processing zirconium in a blender. The explosion initiated when zirconium particulates ignited due to metal-to-metal contact between blender blades and sidewall. Three employees died and one contractor was injured. The explosion and fire damaged the production building and caused plant shutdown.,[],null
arkema-inc-chemical-plant-fire-,"Top Event: Loss of Containment - Organic Peroxide Decomposition and Fire
Incident Type: Chemical fire and vapor release
Operating Phase: production
Materials: organic peroxides, peróxido orgánico
Summary: On August 31, 2017, organic peroxides stored in refrigerated trailers at the Arkema Crosby facility decomposed and ignited following catastrophic flooding from Hurricane Harvey. The facility lost electrical power, backup generators, liquid nitrogen cooling systems, and refrigerated trailer cooling due to a common-mode failure caused by unprecedented flooding. Over 350,000 pounds of organic peroxide decomposed across three separate fires over 12 days. More than 200 residents evacuated and 21 emergency responders sought medical attention due to exposure to decomposition vapors.
Recommendations:
Facilities should perform analysis to determine susceptibility to extreme weather events
Evaluate flood maps to determine if facility is within 100 or 500-year floodplain
Evaluate seismic risk maps for potential earthquake risk
Consider risk of other extreme weather phenomena
Ensure critical protections and equipment are not susceptible to common-mode failures during high flood levels
Implement independent layers of protection available in case of high inundation levels
Develop systems to retain key summarized information from incidents documenting historical safety risks
Apply conservative risk management approach when evaluating impacts of extreme climate scenarios
Do not reopen evacuation zone roads until combustion is confirmed absent despite telemetry data
Performance-Influencing Factor Notes:
inadequate
inadequate
inadequate
high
high
inadequate
inadequate
inadequate
inadequate",Loss of Containment - Organic Peroxide Decomposition and Fire,Chemical fire and vapor release,production,"[""organic peroxides"", ""per\u00f3xido org\u00e1nico""]","Crosby, Texas, USA",Arkema Inc.,"On August 31, 2017, organic peroxides stored in refrigerated trailers at the Arkema Crosby facility decomposed and ignited following catastrophic flooding from Hurricane Harvey. The facility lost electrical power, backup generators, liquid nitrogen cooling systems, and refrigerated trailer cooling due to a common-mode failure caused by unprecedented flooding. Over 350,000 pounds of organic peroxide decomposed across three separate fires over 12 days. More than 200 residents evacuated and 21 emergency responders sought medical attention due to exposure to decomposition vapors.","[""Facilities should perform analysis to determine susceptibility to extreme weather events"", ""Evaluate flood maps to determine if facility is within 100 or 500-year floodplain"", ""Evaluate seismic risk maps for potential earthquake risk"", ""Consider risk of other extreme weather phenomena"", ""Ensure critical protections and equipment are not susceptible to common-mode failures during high flood levels"", ""Implement independent layers of protection available in case of high inundation levels"", ""Develop systems to retain key summarized information from incidents documenting historical safety risks"", ""Apply conservative risk management approach when evaluating impacts of extreme climate scenarios"", ""Do not reopen evacuation zone roads until combustion is confirmed absent despite telemetry data""]",null
bio-lab-conyers-chemical-release-,"Top Event: Loss of Containment - Toxic Chlorine Gas Release
Incident Type: Chemical decomposition and fire resulting in toxic gas release
Operating Phase: production
Materials: trichloroisocyanuric acid (TCCA), TCCA-based formulations, chlorine gas, nitrogen trichloride
Summary: On August 27, 2020, Category 4 Hurricane Laura caused severe damage to Bio-Lab's Lake Charles facility in Westlake, Louisiana. Extreme winds tore off portions of the roof of Plant 4, which stored approximately 70,000-100,000 pounds of TCCA-based formulation. Rainwater from the hurricane contacted the stored TCCA-based formulation, initiating a chemical reaction and decomposition that released toxic chlorine gas and caused a fire. The decomposition and fire destroyed Plant 4 and damaged additional structures. A massive plume of hazardous gases crossed the facility boundary and was visible over a large portion of the nearby community. Interstate 10 was closed for over 28 hours, and a shelter-in-place order was issued. No injuries were reported. Approximately $250 million was invested in redesigning and reconstructing the facility, which resumed operations around March 2023.
Recommendations:
Bio-Lab Lake Charles: Evaluate hazards from hurricanes and implement processes and safeguards for protection, including constructing buildings to withstand hurricane winds and flooding, implementing safeguards to ensure hazardous chemicals are not compromised during extreme weather, and following CCPS guidance on natural hazards assessment and planning
Bio-Lab Lake Charles: Develop and implement improved PHA action item management system with assignment, documentation, and tracking of all action items until resolution, and conduct periodic audits
Bio-Lab Lake Charles: Perform PHAs on all buildings and units processing or storing TCCA, revalidate at least every five years, and include building design basis as process safety information
Bio-Lab Lake Charles: Revise emergency response plan to require proper maintenance and function-testing of fire protection system, checking emergency equipment one month before hurricane season, and training personnel on emergency generators and equipment
Louisiana Governor and State Legislature: Require existing chemical manufacturing and storage facilities in hurricane-prone regions to evaluate hazards from hurricanes and implement protective processes and safeguards
OSHA: Amend PSM Standard to achieve more comprehensive control of reactive hazards, broaden application to cover reactive hazards from process-specific conditions and combinations of chemicals, and augment PHA element to explicitly require evaluation of reactive hazards
EPA: Revise Accidental Release Prevention Requirements to explicitly cover catastrophic reactive hazards from self-reactive chemicals and combinations of chemicals and process-specific conditions
EPA: Implement five open recommendations from 2022 GAO Report on chemical accident prevention related to climate change and natural hazards risks
Performance-Influencing Factor Notes:
inadequate
inadequate
high
inadequate
inadequate
inadequate
inadequate
inadequate",Loss of Containment - Toxic Chlorine Gas Release,Chemical decomposition and fire resulting in toxic gas release,production,"[""trichloroisocyanuric acid (TCCA)"", ""TCCA-based formulations"", ""chlorine gas"", ""nitrogen trichloride""]","Westlake, Louisiana, USA","Bio-Lab, Inc. (KIK Custom Products subsidiary)","On August 27, 2020, Category 4 Hurricane Laura caused severe damage to Bio-Lab's Lake Charles facility in Westlake, Louisiana. Extreme winds tore off portions of the roof of Plant 4, which stored approximately 70,000-100,000 pounds of TCCA-based formulation. Rainwater from the hurricane contacted the stored TCCA-based formulation, initiating a chemical reaction and decomposition that released toxic chlorine gas and caused a fire. The decomposition and fire destroyed Plant 4 and damaged additional structures. A massive plume of hazardous gases crossed the facility boundary and was visible over a large portion of the nearby community. Interstate 10 was closed for over 28 hours, and a shelter-in-place order was issued. No injuries were reported. Approximately $250 million was invested in redesigning and reconstructing the facility, which resumed operations around March 2023.","[""Bio-Lab Lake Charles: Evaluate hazards from hurricanes and implement processes and safeguards for protection, including constructing buildings to withstand hurricane winds and flooding, implementing safeguards to ensure hazardous chemicals are not compromised during extreme weather, and following CCPS guidance on natural hazards assessment and planning"", ""Bio-Lab Lake Charles: Develop and implement improved PHA action item management system with assignment, documentation, and tracking of all action items until resolution, and conduct periodic audits"", ""Bio-Lab Lake Charles: Perform PHAs on all buildings and units processing or storing TCCA, revalidate at least every five years, and include building design basis as process safety information"", ""Bio-Lab Lake Charles: Revise emergency response plan to require proper maintenance and function-testing of fire protection system, checking emergency equipment one month before hurricane season, and training personnel on emergency generators and equipment"", ""Louisiana Governor and State Legislature: Require existing chemical manufacturing and storage facilities in hurricane-prone regions to evaluate hazards from hurricanes and implement protective processes and safeguards"", ""OSHA: Amend PSM Standard to achieve more comprehensive control of reactive hazards, broaden application to cover reactive hazards from process-specific conditions and combinations of chemicals, and augment PHA element to explicitly require evaluation of reactive hazards"", ""EPA: Revise Accidental Release Prevention Requirements to explicitly cover catastrophic reactive hazards from self-reactive chemicals and combinations of chemicals and process-specific conditions"", ""EPA: Implement five open recommendations from 2022 GAO Report on chemical accident prevention related to climate change and natural hazards risks""]",null
bio-lab-lake-charles-chemical-fire-and-release-,"Top Event: Loss of Containment - Toxic Chlorine Gas Release
Incident Type: Chemical decomposition and fire resulting in toxic gas release
Operating Phase: production
Materials: trichloroisocyanuric acid (TCCA), TCCA-based formulations, chlorine gas, nitrogen trichloride
Summary: On August 27, 2020, Category 4 Hurricane Laura caused severe damage to Bio-Lab's Lake Charles facility in Westlake, Louisiana. Extreme winds tore off portions of the roof of Plant 4, which stored approximately 70,000-100,000 pounds of TCCA-based formulation. Rainwater from the hurricane contacted the stored TCCA-based formulation, initiating a chemical reaction and decomposition that released toxic chlorine gas and caused a fire. The decomposition and fire destroyed Plant 4 and damaged additional structures. A massive plume of hazardous gases crossed the facility boundary and was visible over a large portion of the nearby community. The incident resulted in closure of Interstate 10 for over 28 hours and a shelter-in-place order for the surrounding area. Approximately $250 million was invested in reconstructing the damaged facility. No injuries were reported.
Recommendations:
Bio-Lab Lake Charles: Evaluate hazards from hurricanes and implement processes and safeguards for protection, including constructing buildings to withstand hurricane winds and flooding, implementing safeguards to ensure hazardous chemicals are not compromised during extreme weather, and following CCPS guidance on natural hazards assessment and planning
Bio-Lab Lake Charles: Develop and implement improved PHA action item management system with assignment, documentation, and tracking of all action items until resolution, and conduct periodic audits
Bio-Lab Lake Charles: Perform PHAs on all buildings and units processing or storing TCCA, revalidate at least every five years, and include building design basis as process safety information
Bio-Lab Lake Charles: Revise emergency response plan to require proper maintenance and function-testing of fire protection system, regular checking of emergency equipment one month before hurricane season, and training of site personnel on emergency generators and equipment
Louisiana Governor and State Legislature: Require existing chemical manufacturing and storage facilities in hurricane-prone regions to evaluate hazards from hurricanes and implement processes and safeguards for protection
OSHA: Amend PSM Standard to achieve more comprehensive control of reactive hazards by broadening application to cover reactive hazards from process-specific conditions and combinations of chemicals, and augment PHA element to explicitly require evaluation of reactive hazards
EPA: Revise Accidental Release Prevention Requirements to explicitly cover catastrophic reactive hazards from self-reactive chemicals and combinations of chemicals and process-specific conditions
EPA: Implement five open recommendations from 2022 GAO Report on chemical accident prevention related to climate change and natural hazards risks
Performance-Influencing Factor Notes:
low
low
high
low
low
low
low
low",Loss of Containment - Toxic Chlorine Gas Release,Chemical decomposition and fire resulting in toxic gas release,production,"[""trichloroisocyanuric acid (TCCA)"", ""TCCA-based formulations"", ""chlorine gas"", ""nitrogen trichloride""]","Westlake, Louisiana, USA","Bio-Lab, Inc. (KIK Custom Products subsidiary)","On August 27, 2020, Category 4 Hurricane Laura caused severe damage to Bio-Lab's Lake Charles facility in Westlake, Louisiana. Extreme winds tore off portions of the roof of Plant 4, which stored approximately 70,000-100,000 pounds of TCCA-based formulation. Rainwater from the hurricane contacted the stored TCCA-based formulation, initiating a chemical reaction and decomposition that released toxic chlorine gas and caused a fire. The decomposition and fire destroyed Plant 4 and damaged additional structures. A massive plume of hazardous gases crossed the facility boundary and was visible over a large portion of the nearby community. The incident resulted in closure of Interstate 10 for over 28 hours and a shelter-in-place order for the surrounding area. Approximately $250 million was invested in reconstructing the damaged facility. No injuries were reported.","[""Bio-Lab Lake Charles: Evaluate hazards from hurricanes and implement processes and safeguards for protection, including constructing buildings to withstand hurricane winds and flooding, implementing safeguards to ensure hazardous chemicals are not compromised during extreme weather, and following CCPS guidance on natural hazards assessment and planning"", ""Bio-Lab Lake Charles: Develop and implement improved PHA action item management system with assignment, documentation, and tracking of all action items until resolution, and conduct periodic audits"", ""Bio-Lab Lake Charles: Perform PHAs on all buildings and units processing or storing TCCA, revalidate at least every five years, and include building design basis as process safety information"", ""Bio-Lab Lake Charles: Revise emergency response plan to require proper maintenance and function-testing of fire protection system, regular checking of emergency equipment one month before hurricane season, and training of site personnel on emergency generators and equipment"", ""Louisiana Governor and State Legislature: Require existing chemical manufacturing and storage facilities in hurricane-prone regions to evaluate hazards from hurricanes and implement processes and safeguards for protection"", ""OSHA: Amend PSM Standard to achieve more comprehensive control of reactive hazards by broadening application to cover reactive hazards from process-specific conditions and combinations of chemicals, and augment PHA element to explicitly require evaluation of reactive hazards"", ""EPA: Revise Accidental Release Prevention Requirements to explicitly cover catastrophic reactive hazards from self-reactive chemicals and combinations of chemicals and process-specific conditions"", ""EPA: Implement five open recommendations from 2022 GAO Report on chemical accident prevention related to climate change and natural hazards risks""]",null
