incident_id,control_id,barrier_role_match_text,barrier_family,barrier_type,side,line_of_defense,barrier_status,barrier_failed,barrier_failed_human,human_contribution_value,pif_competence,pif_fatigue,pif_communication,pif_situational_awareness,pif_procedures,pif_workload,pif_time_pressure,pif_tools_equipment,pif_safety_culture,pif_management_of_change,pif_supervision,pif_training,supporting_text,confidence,incident_summary
02-may-2024_gc20478_murphy20ev2010r,C-001,"Barrier: Permit to Work (PTW)
Role: Administrative control to ensure proper authorization and planning
LOD Basis: Pre-work authorization system",regulatory_and_permits,administrative,prevention,1st,degraded,False,False,,True,False,True,False,True,False,False,True,False,True,False,True,"[""A Permit to Work (PTW), Lift Plan, and Task Risk Assessments were completed prior to starting operations.""]",high,"On May 2, 2024, during 5-year recertification load testing of the Forward Starboard knuckle boom crane (KBC #1) on the drillship Noble Stanley Lafosse, a winch brake assembly failure occurred at approximately 70 metric tons while attempting to reach the full load test of 93.5 MT. The failure resulted in uncontrolled descent of a water bag test load, causing a Loss of Primary Containment (LOPC) due to hydraulic test port failure. The water bag contacted the take-on station corner, ripped open, and descended into the Gulf of Mexico. Property damage totaled $168,150. Root cause was determined to be crane overload due to improper sea lift area designation combined with lack of personnel training on Automatic Overload Protection System (AOPS) functionality and inadequate procedures."
02-may-2024_gc20478_murphy20ev2010r,C-002,"Barrier: Lift Plan
Role: Administrative control to define safe lifting parameters and procedures
LOD Basis: Pre-work planning and risk assessment",procedures,administrative,prevention,1st,degraded,False,False,,True,False,True,False,True,False,False,True,False,True,False,True,"[""A Permit to Work (PTW), Lift Plan, and Task Risk Assessments were completed prior to starting operations.""]",high,"On May 2, 2024, during 5-year recertification load testing of the Forward Starboard knuckle boom crane (KBC #1) on the drillship Noble Stanley Lafosse, a winch brake assembly failure occurred at approximately 70 metric tons while attempting to reach the full load test of 93.5 MT. The failure resulted in uncontrolled descent of a water bag test load, causing a Loss of Primary Containment (LOPC) due to hydraulic test port failure. The water bag contacted the take-on station corner, ripped open, and descended into the Gulf of Mexico. Property damage totaled $168,150. Root cause was determined to be crane overload due to improper sea lift area designation combined with lack of personnel training on Automatic Overload Protection System (AOPS) functionality and inadequate procedures."
02-may-2024_gc20478_murphy20ev2010r,C-003,"Barrier: Task Risk Assessments
Role: Administrative control to identify and mitigate hazards
LOD Basis: Pre-work hazard identification",hazard_analysis_prework_checks,administrative,prevention,1st,degraded,False,False,,True,False,True,False,True,False,False,True,False,True,False,True,"[""A Permit to Work (PTW), Lift Plan, and Task Risk Assessments were completed prior to starting operations.""]",high,"On May 2, 2024, during 5-year recertification load testing of the Forward Starboard knuckle boom crane (KBC #1) on the drillship Noble Stanley Lafosse, a winch brake assembly failure occurred at approximately 70 metric tons while attempting to reach the full load test of 93.5 MT. The failure resulted in uncontrolled descent of a water bag test load, causing a Loss of Primary Containment (LOPC) due to hydraulic test port failure. The water bag contacted the take-on station corner, ripped open, and descended into the Gulf of Mexico. Property damage totaled $168,150. Root cause was determined to be crane overload due to improper sea lift area designation combined with lack of personnel training on Automatic Overload Protection System (AOPS) functionality and inadequate procedures."
02-may-2024_gc20478_murphy20ev2010r,C-004,"Barrier: Automatic Overload Protection System (AOPS)
Role: Engineering control to prevent crane overload and control load descent
LOD Basis: Automatic safety system designed to safeguard against overload",overpressurization_gas_discharge_gas_isolation,engineering,prevention,2nd,failed,True,True,high,True,False,True,False,True,False,False,True,False,True,False,True,"[""Individuals performing the task did not have proper training on (AOPS) functionality."", ""There was no procedure to reset the sea lift area when performing a 5-year load test over the side of the vessel."", ""At 18-meter radius, with 1-meter sea state, KBC#1 should have activated AOPS and control the lowering of the load."", ""The lift was made over the sea without resetting the sealift area to stay in internal lift zone during testing. Resetting the sealift area will prevent the AOPS from arming / activating at SWL x dynamic factor.""]",high,"On May 2, 2024, during 5-year recertification load testing of the Forward Starboard knuckle boom crane (KBC #1) on the drillship Noble Stanley Lafosse, a winch brake assembly failure occurred at approximately 70 metric tons while attempting to reach the full load test of 93.5 MT. The failure resulted in uncontrolled descent of a water bag test load, causing a Loss of Primary Containment (LOPC) due to hydraulic test port failure. The water bag contacted the take-on station corner, ripped open, and descended into the Gulf of Mexico. Property damage totaled $168,150. Root cause was determined to be crane overload due to improper sea lift area designation combined with lack of personnel training on Automatic Overload Protection System (AOPS) functionality and inadequate procedures."
02-may-2024_gc20478_murphy20ev2010r,C-005,"Barrier: Brake assembly inspection and maintenance
Role: Engineering control to ensure brake system integrity
LOD Basis: OEM requirement for 5-year recertification and brake assembly replacement",mechanical_integrity,engineering,prevention,1st,failed,True,True,medium,True,False,True,False,True,False,False,True,False,True,False,True,"[""The load tests were being performed after the winch brake assemblies were changed, which is an Original Equipment Manufacturer (OEM) requirement every 5 years."", ""The winch brake assembly failure occurred at approximately 70 metric tons (MT) while trying to reach the full load test of 93.5 MT."", ""All four brake assemblies were disassembled and inspected. KBC #1 brake assembly #4 showed no signs of heat or scoring, indicating it did not disengage when AOPS was activated."", ""Brake overhauls are being sent to the overhaul facility individually. The brakes need to be disassembled when returned to the rig for installation. This compromised workshop Quality Control checks.""]",high,"On May 2, 2024, during 5-year recertification load testing of the Forward Starboard knuckle boom crane (KBC #1) on the drillship Noble Stanley Lafosse, a winch brake assembly failure occurred at approximately 70 metric tons while attempting to reach the full load test of 93.5 MT. The failure resulted in uncontrolled descent of a water bag test load, causing a Loss of Primary Containment (LOPC) due to hydraulic test port failure. The water bag contacted the take-on station corner, ripped open, and descended into the Gulf of Mexico. Property damage totaled $168,150. Root cause was determined to be crane overload due to improper sea lift area designation combined with lack of personnel training on Automatic Overload Protection System (AOPS) functionality and inadequate procedures."
02-may-2024_gc20478_murphy20ev2010r,C-006,"Barrier: Sprag clutch design and structural integrity
Role: Engineering control to prevent load loss during brake failure
LOD Basis: Mechanical backup to prevent uncontrolled descent",overpressurization_gas_discharge_gas_isolation,engineering,prevention,2nd,failed,True,False,,True,False,True,False,True,False,False,True,False,True,False,True,"[""The structural limits of the sprag clutches were exceeded causing them to shear."", ""The AOPS engaged while all 70 MT was applied to the sprags / brake assembly plus the additional torque of the all 4-motors attempting to lower the load. This exceeded the structural limits of the sprag clutches and they sheared causing the uncontrolled descent of the water bag."", ""Sprag clutches were broken in brake assembly #4.""]",high,"On May 2, 2024, during 5-year recertification load testing of the Forward Starboard knuckle boom crane (KBC #1) on the drillship Noble Stanley Lafosse, a winch brake assembly failure occurred at approximately 70 metric tons while attempting to reach the full load test of 93.5 MT. The failure resulted in uncontrolled descent of a water bag test load, causing a Loss of Primary Containment (LOPC) due to hydraulic test port failure. The water bag contacted the take-on station corner, ripped open, and descended into the Gulf of Mexico. Property damage totaled $168,150. Root cause was determined to be crane overload due to improper sea lift area designation combined with lack of personnel training on Automatic Overload Protection System (AOPS) functionality and inadequate procedures."
02-may-2024_gc20478_murphy20ev2010r,C-007,"Barrier: Sea lift area designation and reset procedure
Role: Administrative control to ensure AOPS activation at correct load threshold
LOD Basis: Crane setup and configuration control",procedures,administrative,prevention,1st,failed,True,True,high,True,False,True,False,True,False,False,True,False,True,False,True,"[""The lift was made over the sea without resetting the sealift area to stay in internal lift zone during testing."", ""There was no procedure to reset the sea lift area when performing a 5-year load test over the side of the vessel."", ""Resetting the sealift area will prevent the AOPS from arming / activating at SWL x dynamic factor.""]",high,"On May 2, 2024, during 5-year recertification load testing of the Forward Starboard knuckle boom crane (KBC #1) on the drillship Noble Stanley Lafosse, a winch brake assembly failure occurred at approximately 70 metric tons while attempting to reach the full load test of 93.5 MT. The failure resulted in uncontrolled descent of a water bag test load, causing a Loss of Primary Containment (LOPC) due to hydraulic test port failure. The water bag contacted the take-on station corner, ripped open, and descended into the Gulf of Mexico. Property damage totaled $168,150. Root cause was determined to be crane overload due to improper sea lift area designation combined with lack of personnel training on Automatic Overload Protection System (AOPS) functionality and inadequate procedures."
02-may-2024_gc20478_murphy20ev2010r,C-008,"Barrier: Work task procedures and job instructions
Role: Administrative control to ensure proper execution of load test procedures
LOD Basis: Documented procedures for safe work execution",procedures,administrative,prevention,1st,degraded,False,True,high,True,False,True,False,True,False,False,True,False,True,False,True,"[""Noble maintenance routine from Legacy Pacific Drilling (L-PACD) provides poor instructions on how to perform the load test and perform safety checks."", ""Safety checks are listed post load test."", ""The work task references the TEC-WWD_SOW-016 - Load Test for Post-Repair which provides poor guidance and does not specify to reset the sealift area."", ""Communication \u2013 Job instructions were inadequate because testing safety systems are mentioned after the 5-year load test instead of before the load test.""]",high,"On May 2, 2024, during 5-year recertification load testing of the Forward Starboard knuckle boom crane (KBC #1) on the drillship Noble Stanley Lafosse, a winch brake assembly failure occurred at approximately 70 metric tons while attempting to reach the full load test of 93.5 MT. The failure resulted in uncontrolled descent of a water bag test load, causing a Loss of Primary Containment (LOPC) due to hydraulic test port failure. The water bag contacted the take-on station corner, ripped open, and descended into the Gulf of Mexico. Property damage totaled $168,150. Root cause was determined to be crane overload due to improper sea lift area designation combined with lack of personnel training on Automatic Overload Protection System (AOPS) functionality and inadequate procedures."
02-may-2024_gc20478_murphy20ev2010r,C-009,"Barrier: Personnel training on AOPS functionality
Role: Administrative control to ensure personnel understand safety system operation
LOD Basis: Competency assurance for critical operations",training,administrative,prevention,1st,failed,True,True,high,True,False,True,False,True,False,False,True,False,True,False,True,"[""Personnel training \u2013 individuals performing the task did not have proper training on AOPS functionality.""]",high,"On May 2, 2024, during 5-year recertification load testing of the Forward Starboard knuckle boom crane (KBC #1) on the drillship Noble Stanley Lafosse, a winch brake assembly failure occurred at approximately 70 metric tons while attempting to reach the full load test of 93.5 MT. The failure resulted in uncontrolled descent of a water bag test load, causing a Loss of Primary Containment (LOPC) due to hydraulic test port failure. The water bag contacted the take-on station corner, ripped open, and descended into the Gulf of Mexico. Property damage totaled $168,150. Root cause was determined to be crane overload due to improper sea lift area designation combined with lack of personnel training on Automatic Overload Protection System (AOPS) functionality and inadequate procedures."
02-may-2024_gc20478_murphy20ev2010r,C-010,"Barrier: Incident notification and response
Role: Administrative control to manage incident consequences and prevent escalation
LOD Basis: Emergency response and regulatory notification",incident_command_coordination_and_comms,administrative,mitigation,recovery,active,False,False,high,True,False,True,False,True,False,False,True,False,True,False,True,"[""The load test was stopped and the Offshore Installation Manager (OIM), Drill Site Leader (DSL), and Safety Training Supervisor (STS) were notified."", ""The situation was evaluated and a plan was put in place to recover the water bag and place the crane in cradle."", ""An announcement was made warning of slick decks from hydraulic fluid and the pipe rack was barriered off to prevent possible slip hazards."", ""Scupper plugs were installed in the drains to keep the LOPC isolated to the pipe rack."", ""The BSEE Houma District office was notified orally and a written report was submitted in eWell within 15 days.""]",high,"On May 2, 2024, during 5-year recertification load testing of the Forward Starboard knuckle boom crane (KBC #1) on the drillship Noble Stanley Lafosse, a winch brake assembly failure occurred at approximately 70 metric tons while attempting to reach the full load test of 93.5 MT. The failure resulted in uncontrolled descent of a water bag test load, causing a Loss of Primary Containment (LOPC) due to hydraulic test port failure. The water bag contacted the take-on station corner, ripped open, and descended into the Gulf of Mexico. Property damage totaled $168,150. Root cause was determined to be crane overload due to improper sea lift area designation combined with lack of personnel training on Automatic Overload Protection System (AOPS) functionality and inadequate procedures."
