incident_id,control_id,barrier_type_ps,barrier_level,lod_industry_standard,barrier_condition,barrier_role_norm,source_agency,provider_bucket,supporting_text_count,lod_numeric,pathway_sequence,total_prev_barriers_incident,total_mit_barriers_incident,total_failed_incident,total_hf_failed_incident,num_threats_in_sequence,num_threats_in_lod_numeric,flag_environmental_threat,flag_electrical_failure,flag_procedural_error,flag_mechanical_failure,y_fail,y_hf_fail,hf_contrib_binary,barrier_failed_expert,barrier_failed_human_expert,barrier_failed_rule,failed_mismatch,barrier_status,barrier_type,line_of_defense,flag_communication_breakdown,is_degradation_control,barrier_family,incident_has_threat_data
ac-857a-shell-offshore-11-feb-2014,C-004,hardware_barrier,mitigation,Safety Instrumented Systems,ineffective,other,BSEE,bsee,2,2,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,not_installed,engineering,2nd,0,0,emergency_shutdown_isolation,1
ac2085720shell2004-sep-202320,C-005,hardware_barrier,mitigation,Process Containment,effective,control,BSEE,bsee,1,2,1,2,2,3,0,4,4,1,0,1,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,well_control_barriers_kill,1
ac2085720shell2004-sep-202320,C-007,hardware_barrier,mitigation,Other,degraded,other,BSEE,bsee,1,99,2,2,2,3,0,4,4,1,0,1,1,1,0,0,1,0,0,1,degraded,engineering,unknown,0,0,other_mit_engineering,1
bp-mc-778-a-6-june-2022,C-002,hardware_barrier,mitigation,Alarm and Operator Response,degraded,detect,BSEE,bsee,2,2,1,2,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,degraded,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
bp-mc-778-a-8-june-2022,C-001,hardware_barrier,mitigation,Alarm and Operator Response,degraded,detect,BSEE,bsee,1,2,1,0,3,1,0,3,3,0,0,1,1,1,0,0,1,0,0,1,degraded,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
bp-mc-778-a-8-june-2022,C-002,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,1,2,1,0,3,1,0,3,3,0,0,1,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
bp-mc-778-a-8-june-2022,C-004,hardware_barrier,mitigation,Other,effective,other,BSEE,bsee,1,3,2,0,3,1,0,3,1,0,0,1,1,0,0,0,0,0,0,0,active,engineering,3rd,0,0,other_mit_engineering,1
cox-hi-472-a-21-oct-2022,C-002,hardware_barrier,mitigation,Pressure Relief Systems,effective,pressure_relief,BSEE,bsee,1,2,1,1,2,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,pressure_relief_blowdown_flare_disposal,1
cox-hi-472-a-21-oct-2022,C-003,hardware_barrier,mitigation,Pressure Relief Systems,degraded,other,BSEE,bsee,1,3,2,1,2,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,degraded,engineering,3rd,0,0,pressure_relief_blowdown_flare_disposal,1
cox-mp-73-cf-27-jan-2022,C-003,hardware_barrier,mitigation,Safety Instrumented Systems,effective,detect,BSEE,bsee,2,3,1,1,2,1,0,3,3,1,0,0,1,0,0,0,0,0,0,0,active,engineering,3rd,0,0,emergency_shutdown_isolation,1
